server_time,esp_millis,ecg,resp
1759864384.5363288,1403027.0,-2.0,-2.0
1759864384.5600593,1403047.0,-3.0,-2.0
1759864384.5760942,1403067.0,-2.0,-2.0
1759864384.5977104,1403087.0,-1.0,-2.0
1759864384.6240096,1403107.0,-2.0,-2.0
1759864384.6356761,1403127.0,-2.0,-2.0
1759864384.6562035,1403147.0,-2.0,-2.0
1759864384.6758287,1403167.0,-2.0,-2.0
1759864384.6962085,1403187.0,-1.0,-2.0
1759864384.7155392,1403207.0,-1.0,-2.0
1759864384.7357752,1403227.0,-2.0,-2.0
1759864384.7559285,1403247.0,-2.0,-2.0
1759864384.7763932,1403267.0,-1.0,-2.0
1759864384.7967882,1403287.0,-1.0,-2.0
1759864384.819895,1403307.0,-1.0,-2.0
1759864384.8353188,1403327.0,0.0,-2.0
1759864384.8561993,1403347.0,0.0,-2.0
1759864384.87639,1403367.0,-1.0,-2.0
1759864384.8964918,1403387.0,-1.0,-2.0
1759864384.9206038,1403407.0,-1.0,-2.0
1759864384.93568,1403427.0,-2.0,-2.0
1759864384.9559908,1403447.0,-1.0,-2.0
1759864384.9801695,1403467.0,-1.0,-2.0
1759864384.9955118,1403487.0,-1.0,-2.0
1759864385.0162327,1403507.0,-1.0,-2.0
1759864385.0487337,1403527.0,-1.0,-2.0
1759864385.0555987,1403547.0,-2.0,-2.0
1759864385.079493,1403567.0,-2.0,-2.0
1759864385.0972662,1403587.0,0.0,-2.0
1759864385.116229,1403607.0,0.0,-2.0
1759864385.1357324,1403627.0,-1.0,-2.0
1759864385.1557465,1403647.0,-1.0,-2.0
1759864385.1755397,1403667.0,0.0,-2.0
1759864385.1961687,1403687.0,-2.0,-2.0
1759864385.2165577,1403707.0,-2.0,-2.0
1759864385.2419658,1403727.0,0.0,-2.0
1759864385.259183,1403747.0,0.0,-2.0
1759864385.275397,1403767.0,0.0,-2.0
1759864385.296135,1403787.0,-1.0,-2.0
1759864385.3159032,1403807.0,-2.0,-2.0
1759864385.344224,1403827.0,-1.0,-2.0
1759864385.3600774,1403847.0,-1.0,-2.0
1759864385.3759813,1403867.0,-1.0,-2.0
1759864385.396179,1403887.0,-1.0,-2.0
1759864385.418529,1403907.0,-1.0,-2.0
1759864385.4354403,1403927.0,-1.0,-2.0
1759864385.4559052,1403947.0,-1.0,-2.0
1759864385.4819977,1403967.0,-1.0,-2.0
1759864385.4988103,1403987.0,-1.0,-2.0
1759864385.5168922,1404007.0,-1.0,-2.0
1759864385.539178,1404027.0,-1.0,-2.0
1759864385.559815,1404047.0,-1.0,-2.0
1759864385.576016,1404067.0,-2.0,-2.0
1759864385.604048,1404087.0,-1.0,-2.0
1759864385.6197429,1404107.0,0.0,-2.0
1759864385.635302,1404127.0,-1.0,-2.0
1759864385.6576157,1404147.0,-1.0,-2.0
1759864385.6753097,1404167.0,-2.0,-2.0
1759864385.6980045,1404187.0,-1.0,-2.0
1759864385.7155464,1404207.0,0.0,-2.0
1759864385.736183,1404227.0,0.0,-2.0
1759864385.7555964,1404247.0,0.0,-2.0
1759864385.776867,1404267.0,-1.0,-2.0
1759864385.796569,1404287.0,-1.0,-2.0
1759864385.8157952,1404307.0,-2.0,-2.0
1759864385.835812,1404327.0,-2.0,-2.0
1759864385.8577542,1404347.0,-1.0,-2.0
1759864385.8758569,1404367.0,0.0,-2.0
1759864385.8977187,1404387.0,-1.0,-2.0
1759864385.919766,1404407.0,-1.0,-2.0
1759864385.9358034,1404427.0,0.0,-2.0
1759864385.9568632,1404447.0,-1.0,-2.0
1759864385.9761019,1404467.0,-1.0,-2.0
1759864386.0070794,1404487.0,-1.0,-2.0
1759864386.0167987,1404507.0,-1.0,-2.0
